smiles,delta_g_kcal_mol,source,role,parent_name,canonical_smiles
CCCONC=CC=C1/C=C1[NH2+1]NC(=O)NC=CC=CC=NC=C,-4.28,augment,,,C=CN=CC=CC=CNC(=O)N[NH2+]C1=CC1=CC=CNOCCC
C=CN=CCC1C=CC=C1CNNCCNCCCC([NH1]C2=CC)=CC=C2N=O,-2.43,augment,,,C=CN=CCC1C=CC=C1CNNCCNCCCC1=CC=C(N=O)C(=CC)N1
O=CCC(C(=O)NC=NC=C)C=CC(C)=CC=CF,-3.16,augment,,,C=CN=CNC(=O)C(C=CC(C)=CC=CF)CC=O
C=CN=CNCCCCCC1=[NH1+1]C1CCl,-2.55,augment,,,C=CN=CNCCCCCC1=[NH+]C1CCl
C1=CC1CC2=CC=CN=C2C(=O)NCC=C[NH1]C=NN=NC=C,-4.68,augment,,,C=CN=NN=CNC=CCNC(=O)c1ncccc1CC1C=C1
C=C[NH1]C(C)C=C(SCC=CC)C,-3.02,augment,,,C=CNC(C)C=C(C)SCC=CC
C[C@@H1](CC[C@@H1](C)C=CC=CC=CC=NN=CN)NNCCC=CC(C)NC=C,-3.61,augment,,,C=CNC(C)C=CCCNN[C@@H](C)CC[C@@H](C)C=CC=CC=CC=NN=CN
C=CNC(COC(=O)CC)C(F)CCCOC1=CC1=S,-1.04,augment,,,C=CNC(COC(=O)CC)C(F)CCCOc1cc1=S
C=CNC1(C)CCCCCC(C)NC1C#N,-3.13,augment,,,C=CNC1(C)CCCCCC(C)NC1C#N
CC1CC1(COC=O)NC=C,-2.85,augment,,,C=CNC1(COC=O)CC1C
C1=C(C)CCNCCCC=CC2(C)CCNC=CN=NCSC21NC=C,-4.77,augment,,,C=CNC12C=C(C)CCNCCCC=CC1(C)CCNC=CN=NCS2
C1C=NN=C1/C=CC=C2N(C=CC=CCCCC=C=C2NC=C)N=CN=CC,-5.21,augment,,,C=CNC1=C=CCCCC=CC=CN(N=CN=CC)C1=CC=CC1=NN=CC1
O=C=[C@@H1]CNCSN(C1C2NC=C)C1N2C=O,-2.93,augment,,,C=CNC1C2C(N1C=O)N2SCNCC=C=O
CC=CC=CC=C(C(=O)CC=CCC1[NH1]C=C)CC1N=O,-4.0,augment,,,C=CNC1CC=CCC(=O)C(=CC=CC=CC)CC1N=O
C1OC(=O)CSCCC1(C=C[NH1]C=C)OC,-3.79,augment,,,C=CNC=CC1(OC)CCSCC(=O)OC1
C1[C@@H1]2C[C@H1](CCC=C2CCNCCC=C[NH1]C=C)C=C1CC,-4.06,augment,,,C=CNC=CCCNCCC1=CCC[C@@H]2C=C(CC)C[C@@H]1C2
C=[C@H1]NC=O,-2.74,augment,,,C=CNC=O
CCC(C)C=C(CNC=C)C(=C)C=CC=CC=C[NH1][NH1+1]CC,-3.84,augment,,,C=CNCC(=CC(C)CC)C(=C)C=CC=CC=CN[NH+]CC
C=C(SCC=C(CNC=C)C(C)OC)C=CCCF,-2.37,augment,,,C=CNCC(=CCSC(=C)C=CCCF)C(C)OC
CCC=NC[NH1+1](C)CC(C)C(C)C=CC=CCNC=C,-3.62,augment,,,C=CNCC=CC=CC(C)C(C)C[NH+](C)CN=CCC
O=C(C=NC=CNNC(C)CCNC=C)N=CN=CC1CCC=CC=C1CCOC,-3.43,augment,,,C=CNCCC(C)NNC=CN=CC(=O)N=CN=CC1CCC=CC=C1CCOC
CNC=CCCCC=CC=COC(CCNC=C)C=CC=CCl,-3.27,augment,,,C=CNCCC(C=CC=CCl)OC=CC=CCCCC=CNC
CC1CCC(C=C1N=CCCCNC=C)N(C)C=C=O,-3.5,augment,,,C=CNCCCC=NC1=CC(N(C)C=C=O)CCC1C
C=CNCCC[NH1+1]C(C)CCCOC1=CC1C,-1.35,augment,,,C=CNCCC[NH+]C(C)CCCOC1=CC1C
C=CC1=CCCC=C1NCCNC=C,-3.55,augment,,,C=CNCCNC1=CCCC=C1C=C
O=C(C)[C@@H1](C)N(CNC=C)C=O,-3.19,augment,,,C=CNCN(C=O)[C@H](C)C(C)=O
CC=CC=C(N(CNC=C)C1=CC(/N=CC2=C/C3=N)C=CC3C=C1)C2=O,-4.28,augment,,,C=CNCN1C2=CC3C=CC(C=C2)C(=N)C=C(C=N3)C(=O)C1=CC=CC
CC=NC1C=CC=CCCCNCN(CNC=C)C(C=CC=CC)C1,-4.61,augment,,,C=CNCN1CNCCCC=CC=CC(N=CC)CC1C=CC=CC
O=C(NCNC=C)CC=CC=CC=C[O-1],-4.04,augment,,,C=CNCNC(=O)CC=CC=CC=C[O-]
C=CNCSC=NNC=CCCCC=O,-3.2,augment,,,C=CNCSC=NNC=CCCCC=O
C=[C@@H1]NCSCCNC=CC=CC=CF,-2.66,augment,,,C=CNCSCCNC=CC=CC=CF
CCNCCC(=O)C(C1=CC(=O)N(C)NC=C)N(OC)C1O,-2.51,augment,,,C=CNN(C)C(=O)C=C1C(O)N(OC)C1C(=O)CCNCC
CCC=CN(NC=C)C=CC(=O)NC(=O)NC1=NC=CNC1=CC2COO2,-4.43,augment,,,C=CNN(C=CCC)C=CC(=O)NC(=O)NC1=NC=CNC1=CC1COO1
COC=CCC(CCC1CN1NC=C)C=CC=CC,-2.97,augment,,,C=CNN1CC1CCC(C=CC=CC)CC=COC
COC=CC1=C(C(=O)N=CCSNC=C)C=C[NH1]1,-3.53,augment,,,C=CNSCC=NC(=O)c1cc[nH]c1C=COC
COC=C,-1.83,augment,,,C=COC
COC=CN(C)C(=O)CCC=CCC=NC=NC(=O)OC=C,-2.97,augment,,,C=COC(=O)N=CN=CCC=CCCC(=O)N(C)C=COC
C=COC(C)(C)C(=C)N=CC=CC=CC=CC=CC1=CC=CC=C1O,-4.16,augment,,,C=COC(C)(C)C(=C)N=CC=CC=CC=CC=Cc1ccccc1O
CCSCOCCNC=C=NNC(C(C)C=CN=NC(C)(C)OC=C)C,-1.27,augment,,,C=COC(C)(C)N=NC=CC(C)C(C)NN=C=CNCCOCSCC
O=C(C)C=CC=CNC(OC=C)C=CC(OC1)CN=CC=C1O,-3.72,augment,,,C=COC(C=CC1CN=CC=C(O)CO1)NC=CC=CC(C)=O
CC=CCC(C1OC=C)N1CC(=CN[C@@H1](C)C=O)N,-2.48,augment,,,C=COC1C(CC=CC)N1CC(N)=CN[C@@H](C)C=O
C=COC=CC=CC#CCC=CC(C)(O)NC=NN(C)CC1=CC1O,-3.4,augment,,,C=COC=CC=CC#CCC=CC(C)(O)NC=NN(C)CC1=CC1O
C=COC=CC=C/C=CC=C(CCC12C=C1OO2)C=CCCC=O,-4.21,augment,,,C=COC=CC=CC=CC=C(C=CCCC=O)CCC12C=C1OO2
C=COC=CCN[C@@H1]=CCCNC1CCCCOC=CC=C[NH1]C=C1C,-3.85,augment,,,C=COC=CCNC=CCCNC1CCCCOC=CC=CNC=C1C
C=COC=CN=CC=CC(O)CC=CC(N)C=CCCCC=CC1=CC=CC=N1,-4.06,augment,,,C=COC=CN=CC=CC(O)CC=CC(N)C=CCCCC=Cc1ccccn1
C=COC=CNC=C1N(C=O)CC1N=C(C2CC(C)CC=C2)F,-4.35,augment,,,C=COC=CNC=C1C(N=C(F)C2C=CCC(C)C2)CN1C=O
C=COC=O,-2.1,augment,,,C=COC=O
CCOC=C,-1.98,augment,,,C=COCC
CC=CCCCC#CCOC=C,-2.29,augment,,,C=COCC#CCCCC=CC
C[C@]1(C)[C@@H1](C)NCOC(O)CC1C(=O)COC=C,-3.78,augment,,,C=COCC(=O)C1CC(O)OCN[C@H](C)C1(C)C
C=C(C)NNC=CC=C(C)CC(COC=C)C=C[C@@H1](C)CC=CC,-3.39,augment,,,C=COCC(C=C[C@@H](C)CC=CC)CC(C)=CC=CNNC(=C)C
COC=C[C@H1](C)CCCC#CNCC(CC)COC=C,-2.13,augment,,,C=COCC(CC)CNC#CCCC[C@@H](C)C=COC
CC[NH1+1]CCC(C1=CCCCN1C=O)COC=C,-2.75,augment,,,C=COCC(CC[NH+]CC)C1=CCCCN1C=O
C12C=CC(CC3C=C3C=CCC4=C)C=C1CC24COC=C,-4.45,augment,,,C=COCC12CC3=CC(C=CC31)CC1C=C1C=CCC2=C
CCCCC=CCOC=C,-2.35,augment,,,C=COCC=CCCCC
COC=CCOC=C,-2.46,augment,,,C=COCC=COC
CCC(=C)NCCC(C[NH2+1])C[NH1+1](C1)CC(O)CC1CCOC=C,-2.87,augment,,,C=COCCC1CC(O)C[NH+](CC(C[NH2+])CCNC(=C)CC)C1
N#CC=CCCNC(=O)COCN=[C@@H1]CCOC=C,-1.85,augment,,,C=COCCC=NCOCC(=O)NCCC=CC#N
CC(C)[NH1+1]CCN(O)C[NH2+1]CCCCOC=C,-0.76,augment,,,C=COCCCC[NH2+]CN(O)CC[NH+]C(C)C
C=[C@@H1]OCCNNCC(CCC)=CC=CNC[O-1],-3.57,augment,,,C=COCCNNCC(=CC=CNC[O-])CCC
CCCC(C)[NH1+1](CCOC=C)CC1CCC(NC)=C1C=CC,-3.05,augment,,,C=COCC[NH+](CC1CCC(NC)=C1C=CC)C(C)CCC
CN(COC=C)C=O,-2.58,augment,,,C=COCN(C)C=O
C=C(NCNCOC=C)COC=O,-1.56,augment,,,C=COCNCNC(=C)COC=O
C=COC[C@H1](C)NCC1=C(S)CC1CF,-1.74,augment,,,C=COC[C@H](C)NCC1=C(S)CC1CF
CC(N)CCCCC1CC1CCC=CC(C)CCCOOC=C,-1.91,augment,,,C=COOCCCC(C)C=CCCC1CC1CCCCC(C)N
C1[C@@H1](O)C=C2C(S21C=C)C(Cl)[O-1],-3.44,augment,,,C=CS12C[C@@H](O)C=C1C2C([O-])Cl
C[NH1+1](C)CCNC=CC=C(SC=C)C=CC=CC=CC(F)C\C=CCC(C)F,-4.03,augment,,,C=CSC(C=CC=CC=CC(F)CC=CCC(C)F)=CC=CNCC[NH+](C)C
C=CSC1CCCC=CC=CCCCCC1F,-3.97,augment,,,C=CSC1CCCC=CC=CCCCCC1F
C=C(C(=C)C=CC=CSC=C)C=C=O,-4.44,augment,,,C=CSC=CC=CC(=C)C(=C)C=C=O
C[C@@H1](O)C=CCOCC(=O)CCOC=CCCSC=C,-3.44,augment,,,C=CSCCC=COCCC(=O)COCC=C[C@@H](C)O
C=C[C@H1](CCO)C=O,-2.96,augment,,,C=C[C@@H](C=O)CCO
C=C[C@@H1](CC=CCC=CCO)C/C=C1CCSC=C1,-3.95,augment,,,C=C[C@@H](CC=CCC=CCO)CC=C1C=CSCC1
C=C[C@@H1](CCC=CCC)C(C(C)(C)C=CC)(O)C=CC=CCCCCC,-3.19,augment,,,C=C[C@@H](CCC=CCC)C(O)(C=CC=CCCCCC)C(C)(C)C=CC
CC=CC=CC(=C1)[C@H1]1C2CCN(S)C2C3=CC=CC=C3C=C,-4.34,augment,,,C=Cc1ccccc1C1C([C@H]2C=C2C=CC=CC)CCN1S
CN=C,-1.71,augment,,,C=NC
C1NC=CC1CCCCC[C@@H1](C)NCC#CN=C,-3.08,augment,,,C=NC#CCN[C@H](C)CCCCCC1C=CNC1
C1CCCSC(C2=C[C@H1]2CC(=O)N=C)C=CC=CC=CC=C(Cl)C1=O,-5.53,augment,,,C=NC(=O)C[C@@H]1C=C1C1C=CC=CC=CC=C(Cl)C(=O)CCCCS1
C=C(C)C[NH1+1]CCC(C)N=C,-1.85,augment,,,C=NC(C)CC[NH+]CC(=C)C
O=C(NC(F)N=C)O[C@@H1](C)CC1=CN=CCN=CCCC1F,-3.95,augment,,,C=NC(F)NC(=O)O[C@@H](C)CC1=CN=CCN=CCCC1F
CC=NN(NCC(N)N=C)COCC(C)(O)O,-0.27,augment,,,C=NC(N)CNN(COCC(C)(O)O)N=CC
CCC1=C(CC2(C)N1C=O)C2C=CCCC3CC3N=C,-4.22,augment,,,C=NC1CC1CCC=CC1C2=C(CC)N(C=O)C1(C)C2
CSCCCCC1=CC=CC(=O)C=CCCC1N=C,-3.63,augment,,,C=NC1CCC=CC(=O)C=CC=C1CCCCSC
O=[N+1]([O-1])C=CC=CC([NH1+1])CCCN=C(O)COC=C(F)C=CN=C,-4.08,augment,,,C=NC=CC(F)=COCC(O)=NCCCC([NH+])C=CC=C[N+](=O)[O-]
O=CNNCCCCC(F)C=CN=C,-2.83,augment,,,C=NC=CC(F)CCCCNNC=O
N#CC=C=CC=C/C(=O)PC(C1)=C1C=CC=CN=C,-4.13,augment,,,C=NC=CC=CC1=C(PC(=O)C=CC=C=CC#N)C1
CC(C)=[C@H1]SNC(C)NC=CCC=CC=CN=C,-3.23,augment,,,C=NC=CC=CCC=CNC(C)NSC=C(C)C
C=C(C(=O)CCC=NC=CC=CN=C)Cl,-3.93,augment,,,C=NC=CC=CN=CCCC(=O)C(=C)Cl
C1CC(CC=O)NCC(C(NC)=CN=CN=C)CC2CC=NN=C2CCN1,-4.62,augment,,,C=NC=NC=C(NC)C1CNC(CC=O)CCNCCC2=NN=CCC2C1
CCC=C(C=CC=CC)CCSCC(=O)CCNC=CCC(O)CC=CN=CN=C,-3.99,augment,,,C=NC=NC=CCC(O)CC=CNCCC(=O)CSCCC(C=CC=CC)=CCC
CC(CN=C)C=CC=CNNCOCCC1C=CCO1,-3.09,augment,,,C=NCC(C)C=CC=CNNCOCCC1C=CCO1
NC(=C)C(CCC(N)CCCC1)=NN(C)C2=C1C2CN=C,-3.72,augment,,,C=NCC1C2=C1N(C)N=C(C(=C)N)CCC(N)CCCC2
CC[C@@H1](CC)CNN(F)C=CC=CC=CCC=CCN=C,-3.41,augment,,,C=NCC=CCC=CC=CC=CN(F)NCC(CC)CC
O=C(CCN=C)C,-2.72,augment,,,C=NCCC(C)=O
C=C(CCCN=C)C=C(NCCC(C)CC=CCC=CC=CC1=CN1)N,-3.25,augment,,,C=NCCCC(=C)C=C(N)NCCC(C)CC=CCC=CC=CC1=CN1
O=C=C=NC=CCN=CC=CCCCN=C,-3.24,augment,,,C=NCCCC=CC=NCC=CN=C=C=O
CN(CSCCCC(=O)CN=CCCCN=C)NC=CN=O,-2.38,augment,,,C=NCCCC=NCC(=O)CCCSCN(C)NC=CN=O
CC(=O)OCCC1NC1C(C)CCC=CCSC=CNCCCCN=C,-2.01,augment,,,C=NCCCCNC=CSCC=CCCC(C)C1NC1CCOC(C)=O
C=NCCOCC,-2.03,augment,,,C=NCCOCC
C=NN,-1.86,augment,,,C=NN
C=NN(O)C=CC=O,-2.93,augment,,,C=NN(O)C=CC=O
C[NH1+1](C=CCCCC(CC1)[C@@H1](C)C=C1S)CCONCC2CC2=NN=C,-1.75,augment,,,C=NN=C1CC1CNOCC[NH+](C)C=CCCCC1CCC(S)=C[C@@H]1C
CC(C)C(C)CCCN=COCCC1CN=CC1CNN=C,-1.86,augment,,,C=NNCC1C=NCC1CCOC=NCCCC(C)C(C)C
CC(C)(CNCC)CCCC1CCC(C)=C1COCON=C,-2.65,augment,,,C=NOCOCC1=C(C)CCC1CCCC(C)(C)CNCC
C1CC2[C@H1]=NN1C=C3C(C)(C)C=C3C2NNC4CC4NON=C,-4.1,augment,,,C=NONC1CC1NNC1C2=CC(C)(C)C2=CN2CCC1C=N2
O=C,-1.84,augment,,,C=O
O=CCC(C=C/C=NC=CS(=C)NN=CC=C[NH1])OCC,-3.36,augment,,,C=S(C=CN=CC=CC(CC=O)OCC)NN=CC=C[NH]
C=1C2=CC=C(CN2NC=NN=S=C)N=1,-3.56,augment,,,C=S=NN=CNN1Cc2ccc1cn2
NC(=O)CCNCCC=CC1=CS(O)(C)CC=C([N+1](=C)C)CC2=C1C=CC#C2,-5.31,augment,,,C=[N+](C)C1=CCS(C)(O)C=C(C=CCCNCCC(N)=O)c2ccc#cc2C1
C=[N+1](C)C=CC1(C=O)ON(ON)CCC2=C=C2S1,-3.2,augment,,,C=[N+](C)C=CC1(C=O)ON(ON)CCC2=C=C2S1
C=[NH1+1]CN1CC=CCC1,-3.34,augment,,,C=[NH+]CN1CC=CCC1
C=[NH2+1],-1.45,augment,,,C=[NH2+]
O=C(C=CC1=C2C=CC=C1C2=C)CCl,-4.56,augment,,,C=c1c2cccc1c2C=CC(=O)CCl
CCC1CC=CN(C(=O)C=C2C=C3C=CC2=C)C3=NN1C,-4.31,augment,,,C=c1ccc2cc1=CC(=O)N1C=CCC(CC)N(C)N=C21
CC=CC#CC,-2.34,augment,,,CC#CC=CC
CC=NN(CCCC)CC=CC=CC=CN(CC)CCC=CC#CC,-3.2,augment,,,CC#CC=CCCN(C=CC=CC=CCN(CCCC)N=CC)CC
CNC(=O)[NH1]C(C)CCCCCN(N)CC=CC#CC,-2.42,augment,,,CC#CC=CCN(N)CCCCCC(C)NC(=O)NC
C1C=NC=C1C=C/NCNC=NCC=CC#CC,-3.97,augment,,,CC#CC=CCN=CNCNC=CC1=CN=CC1
CC(CCC=O)NC=CC#CC,-3.36,augment,,,CC#CC=CNC(C)CCC=O
COC(=O)ONC(=O)CCN(C)C1CC=CC=C1NC=CC#CC,-2.57,augment,,,CC#CC=CNC1=CC=CCC1N(C)CCC(=O)NOC(=O)OC
CC#CC=O,-2.64,augment,,,CC#CC=O
CCCNC(C=C1CCCC1)CC#CC,-3.08,augment,,,CC#CCC(C=C1CCCC1)NCCC
CCC(O)C=CN(C=NC=CC)O[C@@H1](C1)[C@H1]1CC#CC,-3.72,augment,,,CC#CC[C@H]1C[C@@H]1ON(C=CC(O)CC)C=NC=CC
O=CC=CC(C=CC=CC)=CCCC(C)C(O)[NH1]C#CC,-3.62,augment,,,CC#CNC(O)C(C)CCC=C(C=CC=O)C=CC=CC
C[C@@H1](NC(C)C(CO)OC#CC)C(C)C#CCCC=O,-1.42,augment,,,CC#COC(CO)C(C)N[C@H](C)C(C)C#CCCC=O
CCOC(C)CC(C1)=C(C)COC1C=NC[C@@H1](C)C#CC,-2.73,augment,,,CC#C[C@H](C)CN=CC1CC(CC(C)OCC)=C(C)CO1
C1COC(O)NC=C=CNCC1C=C=C(C=CC[N+1]=O)C,-4.92,augment,,,CC(=C=CC1CCOC(O)NC=C=CNC1)C=CC[N+]=O
CC(C=O)=C=CSCCC=O,-3.42,augment,,,CC(=C=CSCCC=O)C=O
O=C=CC=CC=NC#CCNC(=O)C=C(C)C1(C)C=CO1,-4.82,augment,,,CC(=CC(=O)NCC#CN=CC=CC=C=O)C1(C)C=CO1
O=C[C@@H1](CC=NC(C)=CC1=CC(=N)C1Cl)CCN=C=CC=CNCCC2C=C2,-4.19,augment,,,CC(=CC1=CC(=N)C1Cl)N=CC[C@H](C=O)CCN=C=CC=CNCCC1C=C1
C1COC=CC=C1C(=O)C(C)=CC=C(C2CF)C=N2,-3.92,augment,,,CC(=CC=C1C=NC1CF)C(=O)C1=CC=COCC1
CC(N)C=CC=C(C)NC(=O)NCCN1NCNCCCCCC1C,-5.03,augment,,,CC(=CC=CC(C)N)NC(=O)NCCN1NCNCCCCCC1C
CC(C)CCC=CCNC(C)N1CC1C=CC=C(C)OCCN,-3.71,augment,,,CC(=CC=CC1CN1C(C)NCC=CCCC(C)C)OCCN
C[C@@H1](NCCC=NC=C=CCF)CCNC=NC(C)=CC=CC=C=O,-2.7,augment,,,CC(=CC=CC=C=O)N=CNCC[C@@H](C)NCCC=NC=C=CCF
C1C[C@@H1]1SCNC=CCCC=CC=C(C)N=O,-4.3,augment,,,CC(=CC=CCCC=CNCSC1CC1)N=O
C1[NH1+1]OCNN1C=CC=C(C)NC=O,-4.02,augment,,,CC(=CC=CN1C[NH+]OCN1)NC=O
O=CNC=NC=CC=C(C)COCF,-3.17,augment,,,CC(=CC=CN=CNC=O)COCF
C1COC=NCN=C1C(C)=CC=NN2CCNCC2,-3.85,augment,,,CC(=CC=NN1CCNCC1)C1=NCN=COCC1
CC(O)CCCC(C)=CC=O,-3.67,augment,,,CC(=CC=O)CCCC(C)O
CC(C=CC=CC=C/C=NOC[O-1])CC=C(C)CO,-4.07,augment,,,CC(=CCC(C)C=CC=CC=CC=NOC[O-])CO
O=CCCCC=C(C)CC1=CC=CC=NC1C=CCCOC=C2C=C2C,-4.54,augment,,,CC(=CCCCC=O)CC1=CC=CC=NC1C=CCCOC=C1C=C1C
O=C(CN)C=NCCCCC=C(C)C1(C)C=CC=C1,-4.02,augment,,,CC(=CCCCCN=CC(=O)CN)C1(C)C=CC=C1
O=C([O-1])CC(C)=CCCNC=O,-4.02,augment,,,CC(=CCCNC=O)CC(=O)[O-]
C1CC=CN=CCOCCN1C=NC(C)=CCC[O-1],-4.28,augment,,,CC(=CCC[O-])N=CN1CCC=CN=CCOCC1
OC(=O)NC1OC2CCN1CN2C[NH1+1]CC=C(C)CF,-2.87,augment,,,CC(=CC[NH+]CN1CN2CCC1OC2NC(=O)O)CF
CC(CN=C(CNCC=O)[O-1])=CNN(CN1)CC=CC=C1,-2.37,augment,,,CC(=CNN1CC=CC=CNC1)CN=C([O-])CNCC=O
CC(=N)C=CC(=O)C(=O)N1C=NC(C=CC=CCC=C12)C(C)=CC2,-5.33,augment,,,CC(=N)C=CC(=O)C(=O)N1C=NC2C=CC=CCC=C1CC=C2C
CC(=N)CCCNC(=C=1)CC(C=CCC=C=CC=CC=1C)[NH1]C=CN,-4.57,augment,,,CC(=N)CCCNC1=C=C(C)C=CC=C=CCC=CC(NC=CN)C1
CC(=N)N1C=CC=CN1C(C)C(C2)CC2,-3.86,augment,,,CC(=N)N1C=CC=CN1C(C)C1CCC1
CN(C)C(=O)CCNC(C)=NCC=CCCF,-2.69,augment,,,CC(=NCC=CCCF)NCCC(=O)N(C)C
O=CCNC=CC=CNCCCC=CC=NN(N)N=C(C)C1C=C1,-1.89,augment,,,CC(=NN(N)N=CC=CCCCNC=CC=CNCC=O)C1C=C1
O=C(C)C1(C)C2=C3SC3(C4=C12)SCSC4,-4.35,augment,,,CC(=O)C1(C)C2=C3CSCSC34SC4=C21
C1C2(C(=O)C)C=NC=C21,-3.59,augment,,,CC(=O)C12C=NC=C1C2
O=C(C)C1=CC=C1C(CN)C=O,-3.62,augment,,,CC(=O)C1=CC=C1C(C=O)CN
CC1CC=NCN1CCN2CCN=CC3=CS34CCC2=CC4C(=O)C,-4.25,augment,,,CC(=O)C1C=C2CCS13C=C3C=NCCN2CCN1CN=CCC1C
CC(=O)C=C=CC=CC(C(=O)N)CCNNCC=O,-1.45,augment,,,CC(=O)C=C=CC=CC(CCNNCC=O)C(N)=O
O=C(C)C=C=CC=CC=O,-3.74,augment,,,CC(=O)C=C=CC=CC=O
CC(=O)C=CC(N1)=C1Cl,-4.07,augment,,,CC(=O)C=CC1=C(Cl)N1
CC(=O)C=CC(C=C1C=CO)CCCCCN1CC=CC2=CC2,-4.11,augment,,,CC(=O)C=CC1C=C(C=CO)N(CC=CC2=CC2)CCCCC1
CC(=O)C=CC=CC=O,-3.53,augment,,,CC(=O)C=CC=CC=O
CC(=O)C=CC=CCN(C[NH1+1]1C)C=CC=N1,-3.93,augment,,,CC(=O)C=CC=CCN1C=CC=N[NH+](C)C1
CC(=O)C=CC=CNSCOS(=O)CC=O,-3.38,augment,,,CC(=O)C=CC=CNSCOS(=O)CC=O
O=C(C)C=CN=CC=C(N)CCNC[C@@H1](C)C=C1NC1C,-4.53,augment,,,CC(=O)C=CN=CC=C(N)CCNC[C@@H](C)C=C1NC1C
CC(=O)C=CNSCC(CN=NC=O)CNC=NC=O,-2.31,augment,,,CC(=O)C=CNSCC(CN=NC=O)CNC=NC=O
CC(=O)C=O,-2.6,augment,,,CC(=O)C=O
O=C(C)CC=CC1=CSCNN(C=CCCOC=C[NH1]1)C=O,-4.71,augment,,,CC(=O)CC=CC1=CSCNN(C=O)C=CCCOC=CN1
CC(=O)CC=CN(CC(C)CCOCC1CCCC=C1)C2C=C=C2,-3.56,augment,,,CC(=O)CC=CN(CC(C)CCOCC1C=CCCC1)C1C=C=C1
CC(=O)CCC=C(CC=NC(=O)C1=CC=CC=CCN=C1Cl)C,-4.48,augment,,,CC(=O)CCC=C(C)CC=NC(=O)C1=CC=CC=CCN=C1Cl
O=C(C)CCC=CCl,-3.32,augment,,,CC(=O)CCC=CCl
CC(=O)CCC=C[C@H1]1C(=O)NCN1C=O,-3.53,augment,,,CC(=O)CCC=C[C@H]1C(=O)NCN1C=O
CC(=O)CCCC=CC(=O)N1CCSC=C1C=O,-3.81,augment,,,CC(=O)CCCC=CC(=O)N1CCSC=C1C=O
CC(=O)CCCNC=C1[C@@H1](C=CC2=CC=NNC2C1N)CCC3NC3,-2.78,augment,,,CC(=O)CCCNC=C1C(N)C2NN=CC=C2C=C[C@H]1CCC1CN1
CC(=O)CCNC=CCCN=S=O,-3.42,augment,,,CC(=O)CCNC=CCCN=S=O
O=C(C)CCOC=CC=CC=CC=CC1=C(C)CC1C,-3.94,augment,,,CC(=O)CCOC=CC=CC=CC=CC1=C(C)CC1C
C1COC=CC=C1NC(N)[C@@H1]([NH1+1])CCC(=O)C,-2.46,augment,,,CC(=O)CC[C@H]([NH+])C(N)NC1=CC=COCC1
CC(=O)CF,-2.32,augment,,,CC(=O)CF
O=C(C)CNC=O,-3.02,augment,,,CC(=O)CNC=O
O=C(C)CNCC1=CC1Br,-3.45,augment,,,CC(=O)CNCC1=CC1Br
CC(=O)COC=O,-2.43,augment,,,CC(=O)COC=O
CC(=O)N=CC1=CC=C(C(C)[C@@H1](C)C1C)CCN[C@@H1]2C=CCO2,-4.88,augment,,,CC(=O)N=CC1=CC=C(CCN[C@@H]2C=CCO2)C(C)[C@@H](C)C1C
CC(=O)N=CC=CNC(=O)CCNSC=O,-3.55,augment,,,CC(=O)N=CC=CNC(=O)CCNSC=O
CC(=O)N=[C@@H1]C=CNCCC=O,-3.46,augment,,,CC(=O)N=CC=CNCCC=O
CC(=O)NC(=O)NC=NC=CCl,-3.71,augment,,,CC(=O)NC(=O)NC=NC=CCl
O=C(C)NC1=CC2=C(F)NC(CNCC1)C=CC=C2[C@@H1](C=3)C=3,-4.33,augment,,,CC(=O)NC1=CC2=C(F)NC(C=CC=C2C2C=C2)CNCC1
CC(=O)NC1CCNC2CC[C@@H1](N3)[C@@H1]2CSC=C31,-4.13,augment,,,CC(=O)NC1CCNC2CC[C@H]3NC1=CSC[C@H]23
O=C(C)NC=C1CC=CC=C1C=O,-4.09,augment,,,CC(=O)NC=C1CC=CC=C1C=O
O=C(C)NC=CC=C(C)C=O,-4.21,augment,,,CC(=O)NC=CC=C(C)C=O
CC(=O)NC=CC=CC=O,-4.04,augment,,,CC(=O)NC=CC=CC=O
O=C(C)NC=CCCCC1CNCCC1C=O,-4.02,augment,,,CC(=O)NC=CCCCC1CNCCC1C=O
CC(=O)NC=CN(CC[NH1+1](C)C=N1)CC(=C2)C2C1,-4.09,augment,,,CC(=O)NC=CN1CC[NH+](C)C=NCC2C=C2C1
CC(=O)NC=CNC=O,-3.62,augment,,,CC(=O)NC=CNC=O
CC(=O)NCC(C)NCCCCNC=NC=O,-1.86,augment,,,CC(=O)NCC(C)NCCCCNC=NC=O
CC(=O)NCCC=CSCCl,-2.86,augment,,,CC(=O)NCCC=CSCCl
CC(=O)NCCCCCCC=O,-3.38,augment,,,CC(=O)NCCCCCCC=O
CC(=O)NCCCNC(=O)C=CN=O,-4.21,augment,,,CC(=O)NCCCNC(=O)C=CN=O
CC(=O)NCCCC1=CC=CN1CNCC2N[C@@H1](C)C=C2C=O,-3.28,augment,,,CC(=O)NCCCc1cccn1CNCC1N[C@@H](C)C=C1C=O
O=C(C)NCCNC[C@H1]1CCOC[C@H1](C)C1F,-3.41,augment,,,CC(=O)NCCNC[C@H]1CCOC[C@H](C)C1F
O=C(C)NCCOC=CCCO,-3.04,augment,,,CC(=O)NCCOC=CCCO
CC(=O)NCCSCC(=O)CC=CNCC=O,-3.32,augment,,,CC(=O)NCCSCC(=O)CC=CNCC=O
