idx,smiles,delta_g_kcal_mol,source
1713,COC=CCCCC([C@@H1])[C@@H1]C1CC(C)C=C1,-3.62,augment
1714,C1[C@@H1]C[C@@H1](O)CCC=C1CCCC=O,-4.48,augment
1715,C[C@@H1]CC(SC=C[C@@H1](S)C=CC(=C)C=CC=COC[C@@H1]1)=NC(O)O1,-4.38,augment
1716,CCCC=C1C(NC(=O)CC2CCC=CC2C)=NC=CC=C1,-4.55,augment
1717,CC=N[C@@H1](C)NPCSC(=O)C=O,-3.03,augment
1718,COCCC1=CNC(C)C1N=O,-3.73,augment
1719,N#CNC(=C)C(=O)N1CC=CC=C1,-3.67,augment
1720,O=C(C[C@H1]1)SCNS2CCN[C@H1](C)C=CCCC=C1C=C2C,0.0,augment
1721,CCCCC(CCCC)OCC(=O)[C@@H1]C(C)C=CC=C(F)C,-2.71,augment
1722,CC=CC(N)C=CCCC1=C(CCC=C1C=O)C2C(C)C(O)C2,-3.78,augment
1723,CCCN[C@@](C1=O)C([C@H1])CCCC#CS1,-3.93,augment
1724,NC=CC1C(C)CC2C1=N2,-3.61,augment
1725,C=CCC(Br)C=CC(C=O)=NN(O)CC(C)CCC(N1C2)=C12,-3.06,augment
1726,O=CC=CC=CC=CCC=NC=CF,-3.64,augment
1727,CC(C)CC=C=C(NC(=O)NN(C)SNC=O)CC(O)C,-4.22,augment
1728,CCC1CC(C)CN2C=C12,-3.29,augment
1729,CCC=C1C2C(S(N)OC(C)COOC1)C2,-3.8,augment
1730,C1CCC(N)CC[NH1+1]CC(C)(C)C=CC=CC#CN=C=C1CC,-5.68,augment
1731,CCCCCCC(CSC(C=CC=C1CCCS1)CCCC)=O,-3.4,augment
1732,CC=CCC1=CCCN[C@@H1]1CCCC(=O)C=CC=CC=CNNSSCC(F)F,0.0,augment
1733,CC(=O)N1CCC(C2)=C1C2OCCC(C=CC=CC(=O)C=C[O-1])CC,-4.36,augment
1734,COC[C@@H1](N)S1C=C(C(C)C1)CC2CC2(C)CCC,-3.16,augment
1735,COC=CC=C1CN1C=CC=C,-2.86,augment
1736,C12C=CC(C(=O)COC=CC=O)C1N=C2C,-3.36,augment
1737,C1C=CC=C1SCCC(=C)CCN(C=CC=CC=CC=O)[C@@H1]CCCCCOCC,-2.76,augment
1738,CCCNC=CC=O,-2.69,augment
1739,CC=NCC=CCN[C@@H1][C@@H1]([NH1+1])CCC=CC[C@@H1]C=O,-2.87,augment
1740,O=C1CCNC=C[NH1]CCCC=CNC2=NC=CNC2CC1,-4.54,augment
1741,CC=1C[C@@H1]CCN=1,-3.06,augment
1742,C1CC(CC[C@@H1]CC2[C@@H1]CCC3C2=C)=CC=C3CCCCC=C1,-6.32,augment
1743,CC#CCN(NCCC(=C)[C@H1](C)C=CC=C(C)C1=C)C1=CC,0.0,augment
1744,CC(C)CN=C(C=CS(C)(=O)ON/C=O)CCOC=O,-3.95,augment
1745,CC[C@@H1](C)NC(=O)C(=C)C=CC=C1C=C1OC=CC,-3.98,augment
1746,CCOCCCN=CC(CCC=CSC1=NN=CN)C1CCSC=CC#C,-3.47,augment
1747,O=C(C(=O)C=C1C=C)C=NNNCCCNC(C)=C1C=CC=O,-5.27,augment
1748,O=C(C=CN1OCCC=C2C3=C12)CCCC3C,-4.49,augment
1749,CC1C=C1CNCN2CN[C@H1](S)CNC2=N,-3.5,augment
1750,COC=CC=CC[C@H1](C=C=CCl)C(=O)CCCCOF,-3.07,augment
1751,CCC(C=O)C(=C)C=CCCCCOC(C)C=CC=CC=CC,-3.25,augment
1752,C1C=CC=C(CCC(C2)C=CC)C(F)C=C21,-4.54,augment
1753,C1C=CC=C(C1[C@@H1]C=O)C2CCCC2N=CCCSC3=NC(C)C=C3,-3.89,augment
1754,CCCNC(C=C1CCCC1)CC#CC,-3.08,augment
1755,CC=CC=CN=C(C=CC=CCC[NH1+1]CCNC=CO)C(=O)N(O)C(F)F,-3.19,augment
1756,C1CC(=C)C=C1C(O)CCOC=CC2CN=CCC2C=O,-3.85,augment
1757,CC1=CC=CC#COC(C=O)CC=C(C)C(C=O)CCC=CC=C1,-5.16,augment
1758,CC(C)[C@H1](C=C1CC2CC=C=C2CCC=C)C=CC1=C,-4.37,augment
1759,C[C@H1]CCCC=[NH1+1][C@H1]C[C@H1](N)NC(=O)CC=CF,0.0,augment
1760,C1[C@@H1](O)C=C2C(S21C=C)C(Cl)[O-1],-3.44,augment
1761,C1=CNC1(C=CC2=CNSCC2N)NC3=CC=CC=C3[C@H1](O)CCCCC=C,-3.18,augment
1762,CCNC=CCNNNCCC1=C(C=CN1CC=CC=CCC)N2NNNN2,-2.48,augment
1763,COC=CC=O,-2.4,augment
1764,O=C(ON1)C2=C3NC=CC=C3CNN(C=CC=C2C=CO)S1,-5.0,augment
1765,C=1C=CCCNC=C=1,-2.95,augment
1766,CCC=C(N(C)C(=C1)NCC=NCNC=CCCCC=O)C=C1,-3.21,augment
1767,CC(N)C=CNC(O)N=CC1=CCCNC=C1CCCOCF,-3.09,augment
1768,CCCCCCNC(=O)NC(=O)C=O,-3.58,augment
1769,CCC(PC)(O)N1CCO[C@@H1](C)CC1CNCC=NC(C)CCC=O,-1.79,augment
1770,CC=CCCCl,-2.25,augment
1771,C1[C@@H1]CC=CC=C(CC2N=C1SCN=NC(C)OCC)C=C2C=CC,-3.66,augment
1772,C12[C@H1]CC(N)CCNC=C1C3=CC=NC=C3C2,-4.65,augment
1773,CC(C)CC=CCOC(C=O)CCNCC(F)CC,-1.82,augment
1774,CC(C)(CCCC[C@H1](CC)C)CC[C@H1]CCCC,-2.56,augment
1775,CNC(=O)NC(C)[NH1+1]C1CCCC=C(CCCC12)C[C@]2OC3CC=CC=C3,-4.79,augment
1776,C[C@@H1]CNCC=CC=CN(N)CC(=O)C1CCNC=CC=CC=C2C13CC23,-4.75,augment
1777,COC=CC1=C(N1C=O)CCF,-2.74,augment
1778,C1[C@@H1]C(C)[C@@H1]1C=NCC=C(C(=O)CCNC=CC=CC2)CCC=C2CC=C,-6.05,augment
1779,CC=CC=C([C@H1]C)C=O,-3.59,augment
1780,C=C(OCCCC=CNC=CC=NC1=C=C=CCCC=CC=CC1)C2CC2,-4.55,augment
1781,C1OC(O)C=C1C=O,-3.39,augment
1782,COC=CC=CCC[C@@H1]CCNC(=O)NCCC=CCOC=CC=C=C,-2.53,augment
1783,COC=C(C(O)[C@H1]C1=O)CC=CCC=CC=CC=CC=C1C,-4.21,augment
1784,C1=[C@@H1]NCCC=CN1C(C=O)=C,-4.01,augment
1785,C1CCCC(O)[C@H1](C=NCC)CC(CCC)OC(C)=C1,0.0,augment
1786,COC=CC(N1COC(C)CCNC=C=CCC2=C1CCC)=C2OC,-3.79,augment
1787,COC=CCCC=CC(=C)C=CCCONC=NC=CN1CCCC1=NC=CC=CC#C,-4.19,augment
1788,O=C/CN/C=CC=CNC(=O)CC=NCC=CC=CC=C1N=C1,-4.33,augment
1789,CCCNN(C)CC(=O)C(=N)C=CCNS=O,-3.47,augment
1790,CC(O)CC(CCC1C2)=C12,-4.16,augment
1791,C12C=NCC=CC1N3SCCOCCCNCCCC=C3C2,-4.59,augment
1792,C=CNC[C@H1]NC1CCC=CCSC=C(C)C2C=C12,-4.36,augment
1793,COC1COCCCC=CC[C@H1]C(CCC=O)N=NC1,-4.38,augment
1794,CC(COC1=CC=CC=CC1CC#CNC=CC)CC(CCl)C(C)C,-3.43,augment
1795,CCOC=C1C=CC=CC(O)C=CCCC1C2=CC3CCC2CC=C3C,-5.08,augment
1796,CCCCN(COCC)C=CC1CC(=O)NC1C=CC2NS2(C3)C3,-3.92,augment
1797,CC=CC(=O)S(C(=O)N)N=CC(=O)C,-3.84,augment
1798,C[C@H1](C(C)OC(F)=C)CCCCNCC,-1.77,augment
1799,C1C[C@@H1][C@@H1]CN(CO)C1(CCCN(C)CC)CC=CCF,-2.83,augment
1800,C1C[NH1+1]CCNC=C(C)C1OC=NN=CCCC(=O)[O-1],-3.74,augment
1801,CCC=CC=CNCNC(=O)N=CCC=CC1=CC=CC=C1,-4.03,augment
1802,C[C@@H1](C=CC(C)OCCC)NC=CC1(CCCCCNC(O)C)CN1,-2.89,augment
1803,CC(O)CCCC(C)=CC=O,-3.67,augment
1804,CCCCSCNN(C)C(=O)N(C)CC=C1C=CSCC1NNN=O,-3.75,augment
1805,CC1(CCCC)C=CC(N)C1CCC2(C)C(C)=CC=CCOC=NC2,-4.26,augment
1806,CCC(C)C=CC(=N)CCCCC1NC=C(C(CC=C)=N1)NC=CC,-3.12,augment
1807,OC1=NC=CN=C1CCNCC(C)C=C,-2.9,augment
1808,C1C(C)[NH1+1](CN(N[C@@H1]C)N2C=O)CCC(O)NC2C=C1CCCC,-3.67,augment
1809,COC1=C=NCCC=C=C(CCl)C23CCC=C2S13,-4.28,augment
1810,CCCC1CC(C)N2C=C1C=CC2C,-3.72,augment
1811,C1CC=C1CSCCNCCNCCNCC,-2.24,augment
1812,C1N=C1CN2CCC=C2COC=C3C=C4C=C4N3N=O,-3.78,augment
1813,C1C=CC=C1C(=O)C=CC=CNC=CC(CCCC)=CC2CC2=C,-4.35,augment
1814,CCCC=CC(CCC#CNNCC=[C@H1]C1CC=CC=C1)CCCC=CO,-3.72,augment
1815,O=CC=CCNCCCC(=C)NC1CCCOO1,-2.51,augment
1816,CCCN(C)CC=CNCC1C=CC=CC1=O,-3.31,augment
1817,CC=NC1(COCOC=O)C=NCOC=C1C=C,-2.77,augment
1818,CC(C1)CCC=C1CC=NC(C)C=CC=C[O-1],-4.31,augment
1819,CCN(CCl)CCF,-1.87,augment
1820,COC(=O)CC=CC(C)CC1CCCC[C@@H1]1C=CCCCCC=C,-3.32,augment
1821,CCOCCNCCCNCCNC=NC=C/C=CC=CC=O,-2.6,augment
1822,CCC=NC=C=NCC1CCCC1=C,-3.61,augment
1823,COC=C(CC=C)CCNC=O,-2.53,augment
1824,CC(=O)NCCCNC(=O)C=CN=O,-4.21,augment
1825,C#CCOCCC,-2.21,augment
1826,C1[C@@H1]OCC(C)[C@@H1](F)NSC1C(=O)NCC=C,-3.46,augment
1827,CCCCC(N)C=NCC=N[C@H1](C)CN1N=C1CC=C=C=O,-3.38,augment
1828,COCCCC=[C@@H1]C[C@H1]CCC[NH1+1]CCNC1=CC=CC=C1C2CS2,-1.96,augment
1829,CC(O)C[C@@H1]CC(N)C[C@@H1]C=O,-2.82,augment
1830,CC(=O)NC1CCNC2CC[C@@H1](N3)[C@@H1]2CSC=C31,-4.13,augment
1831,COC(=O)C(=O)[C@H1]C1CCOCC1[C@@H1],-3.1,augment
1832,CCSCC=C(CCC=CC[NH1]C(O)C=C1N=CC2=NC1C)CC2=O,-3.99,augment
1833,O=C([C@H1])CCN(C#C)C(C)C,-3.33,augment
1834,CC=CC=CCCC(N)CCNC(=[C@@H1]CC[NH1+1]CSCC)C,-2.33,augment
1835,CC=O,-2.33,augment
1836,C1CC=C2CCC[NH1+1]NC(C/CCCC=NC2C)C=C1P,-4.4,augment
1837,CCC=CC=CC=CC(C)C(=O)CC=CC(C)SC=CC=CC=C1N=N1,-3.8,augment
1838,C[C@@H1]CSC1=CC=CNN1CCOC=C/CNCCCC=C=C=O,-4.5,augment
1839,CCCCNCSNC(=C)C(=C)C=C=C(C)C#CCC#C,-3.07,augment
1840,C[C@@H1][NH2+1]C=C[C@@H1](C)[C@@H1]CCC=CCC1CCC=C1C,-3.65,augment
1841,CC=CC=CCCNNCCCCCC1=C(C=C(F)C1F)C,-3.56,augment
1842,C[C@@H1]/N=NC=CC(=C)CCC(O)CCCC#CC=C,-2.92,augment
1843,C[C@@H1]O[C@H1]CC(C)[C@@H1](O1)[C@H1]CC2OCCCC2C1,-3.56,augment
1844,CC=CC=CC1=C(C)OC(CC=CC)CN(O2)[C@H1]1C#CCCC2,0.0,augment
1845,COC(=O)C[C@H1]CCC(NCN1CC=CC=CC1C=CC=C)NNNCCCC,-1.99,augment
1846,C=[N+1](C)C=CC1(C=O)ON(ON)CCC2=C=C2S1,-3.2,augment
1847,CCCN(C(=O)N[C@@H1]C=CC=C(OC=CC)C=CC=CF)Cl,-3.3,augment
1848,CC=CC=C(CNC(C=NC=CN)C(C)(C)C=CC1C2)CC1S2,-4.07,augment
1849,CCCCN=C(SCC[C@@H1]1NC(C)=CC(=C)CC=CC=NCNCCC)C1,0.0,augment
1850,CCNCNCCNCCSCNC(=N)NC=CCF,-0.59,augment
1851,O=CC=CC=CNN=CC=CCN=O,-4.53,augment
1852,C=NCCC[C@@H1],-2.18,augment
1853,C1C=CC2(C)C3=C1CC=NN(C)CC(O)C=C3CCCCC=C2,-4.96,augment
1854,C1OCCC=C(CC)C=CNC=C2N(C)[C@H1](CC2)C(C)=CC=CC=C1,-4.93,augment
1855,CC[C@H1]CCCNOCCCC[NH2+1]CC(C)OC=CC=O,-0.57,augment
1856,CCCN1C=C1C(C)C2=NC=CC=C2N=O,-4.36,augment
1857,O1[C@@H1](C[C@@H1]C1COC(=O)N2C)C=CCC2,-3.89,augment
1858,C1COC=C2C1[C@H1](C=C3C=CC)C3CC=CC=C(C)C=CN2,0.0,augment
1859,CCCC1C=CC=CCNC(=O)C(C)C(=O)COC=NC=N1,-4.15,augment
1860,C[C@@H1]CCCOCCCC=O,-2.54,augment
1861,CC(C)CC1C[C@@]1(C)CC(C)C(=O)C=CCF,0.0,augment
1862,C[C@H1](COCCCS[C@H1]1CC)NCC=CC=CC=C1Br,-4.42,augment
1863,COC=CC=C([C@@H1]CNC(C)C(=O)C)SC=CNS(C)=CC=O,-4.0,augment
1864,CC(C)CCCNC=CN1CC=2CSCC=2C(=O)N=CC=C=C1,-4.27,augment
1865,C1CC=NC(F)C=CC1S(C)NCCC[C@@H1]CCNCNCCCCC,-1.33,augment
1866,CC(C)C=1CCC=C=1,-3.07,augment
1867,C=CNCSC=NNC=CCCCC=O,-3.2,augment
1868,CNC=CCOC=CCCONCCNC=NC=CC=CC=[NH1+1]Br,-2.4,augment
1869,CC(COC(=O)C)=CNC(=C)[C@@H1](C1)CC1,-2.66,augment
1870,C=1OC=CC=C(CC=CC(CCNC)=O)N=1,-3.68,augment
1871,COC(=O)CC=CC(=C)C1=CCOC1(C)SCCN=COCCO,-2.98,augment
1872,CC=NC=CC(=O)OC=CC1=CC(=O)C2[C@@H1]1C2SN(C=O)C=C=O,-4.16,augment
1873,C[C@H1]([C@H1]CCCCNC(=O)NC=CC=C)C=O,0.0,augment
1874,C1CC2CC1([C@H1](C=O)C(N)CC2(S)C=O)NC=CC3=CC3,-3.31,augment
1875,CC(C)C1C=CN=C2C=C2CCC1=O,-4.05,augment
1876,O[NH1+1](C1)[C@@H1]CCC#C1,-3.34,augment
1877,CCCCCCC[NH1+1](O)C=CCF,-2.55,augment
1878,N#CCC=NCC=CC(C)NN[C@@H1](C)CNNC(C1)=NC1SC,-3.97,augment
1879,O=C(C)CC(OCC)=NC=C(C)CC=CC=CC=CC=C1C=C1Cl,-4.3,augment
1880,C1CC[C@@H1](OC2C[NH1]C=COC=CC=O)N2C=NC1(C)C,0.0,augment
1881,CCNCCC1C(C)C=CC=C1CC2CC2,-3.72,augment
1882,CC=CN=CCCCC=CC=CC(=C)NC(=S)NSCC,-3.76,augment
1883,CCC1CCC=NN1C=O,-3.37,augment
1884,CC=CC=CCCOCC(=C)CC=NNC(CCC=O)C,-2.64,augment
1885,C=C(C)[C@@H1]C[NH1+1]C(C)C=NC=CCC1=CC=CC=N1,-3.45,augment
1886,CCNC(=O)CC=O,-2.68,augment
1887,CC=CC([C@@H1]NC=NC1=CS=C(C=CC#C)F)=C1C[C@@H1]C2CCCC2C#C,-4.38,augment
1888,C1COCCCNN(CCC(=O)C=C(F)C=O)C1,-3.33,augment
1889,CCCCCN(C)N(CCCC[C@@H1](C1)CCC)CC#C1,-4.22,augment
1890,CC(C)C(=CC)CC(O)[O-1],-3.93,augment
1891,CC=CC#CC[NH2+1]C[C@H1],-3.04,augment
1892,CC1CC(CC(=O)CCC2N[C@@H1](C)[C@@H1]2O)C=CC=CC1(C)C=CC,-4.76,augment
1893,C1CC=NC1(CC2=CS=CNNCCC=CCCC=C)C=C2S,-4.57,augment
1894,CCO[C@@H1](CC)CCCC1N=C(O)C(F)CCOC1Cl,-3.63,augment
1895,CC[C@H1]C1NC(=O)C=C1C,-3.99,augment
1896,CCNC=CC#CCOC=NC[C@@H1]CC=O,-2.95,augment
1897,CCNCS(=O)=CC=CC=C/C(=O)NC=CC(C)(C)CC=NCC,-4.08,augment
1898,C=C(C)C(O)C(=O)N1C(C=O)C=C1C=O,-3.56,augment
1899,CCC(O)CCC1(C)C=C1F,-3.67,augment
1900,CC=C=[C@@H1]C=O,-3.08,augment
1901,C[C@@H1](NCCC=NC=C=CCF)CCNC=NC(C)=CC=CC=C=O,-2.7,augment
1902,CCC=C=C=CCCCCCCN1C[C@H1]CCCC=CCCCC1,-4.05,augment
1903,CC=NNCC#C[NH2+1]NC=O,-3.24,augment
1904,CN(C[NH1+1][C@@H1](C)CCCCC(C)COC=NOC)C=C1C(C)C1,-1.93,augment
1905,CNCN1C=C1C=NNC(O)C=CC=CC=C(C)CCC,-3.77,augment
1906,CCC=CCOC=CC=C1C#C1,-3.31,augment
1907,C1[NH1+1](C)C(=O)NC(CNC)C(C)(C)NC1,-3.92,augment
1908,C1OC=CC1N(C)CC2NC=CN=CC=CC=CN(C)N2C,-4.07,augment
1909,C1OC=NC=CC=C1C(CN)C(C)[NH2+1]C=O,-3.47,augment
1910,C12[C@@H1]CN1C3(CCCC[C@@H1]=C)C=C3C=C2C=O,-4.16,augment
1911,C1OC=NC=C1CC(=O)NNCSSC2CNN=N2,-2.17,augment
1912,CCCN(C1(O)C=CC=C=CCNNC)[C@H1]CCC2[C@H1]C2OC1,-3.6,augment
1913,O=C(C)CNC=O,-3.02,augment
1914,O=C(C)C=CNC(=C)NC(=O)NC=O,-3.49,augment
1915,CC=NNCNC(C=CC(=O)C=C(CCC1C=CS)S1(C)OO)C,-2.44,augment
1916,C1CNN(C=O)CCC=C1,-3.68,augment
1917,NC(=C)C(CCC(N)CCCC1)=NN(C)C2=C1C2CN=C,-3.72,augment
1918,C1#CCCC=C1NONC=NC=C(CCC=O)CCCCCNNCOC,-1.85,augment
1919,CC(O)CCC1C2=C1NCC=C2C(=O)N3C=CC=CC=CCC3F,-5.47,augment
1920,CC=CC=CCOCSC=O,-3.13,augment
1921,CCC(=O)NC(C)NC=C1C=CC=CC1[N+1],-4.04,augment
1922,CCCC=CNCC=CC(=O)N=C=CC(=O)CNCCC([C@@H1])OCCC=C,-3.44,augment
1923,CC=CC=CC1=CNNCC1CC2CC=NC=NC2CC,-4.23,augment
1924,CC1NC(C=O)NC[NH1]C=CC=CO[C@@H1]2CC21C,-3.74,augment
1925,CC=C1C=CC[NH1+1]1NC=CCC2CCCC=C2C,-4.7,augment
1926,CCCCCCCCC=CC=CCC[O-1],-3.15,augment
1927,C1C=CC=C1,-2.33,augment
1928,C[C@H1](C1)N[C@@H1]C(C(=O)N=CCCOCC)O1,-2.93,augment
1929,COC=CC=O,-2.4,augment
1930,CCCC=CC=CC=CC=CNCNCS/C(OCCC1C=CC=C1C)C,-2.81,augment
1931,CC=CC=C(C=CC=O)CNCCC(CC[C@@H1]1C)C1=N,-3.88,augment
1932,CN(N)C(=O)C=O,-2.79,augment
1933,C[C@H1]C[C@@H1][C@@H1]NCSC=CC=C(CCNC=C)CONCOC1=CC=CC1C,-2.37,augment
1934,CCNC=CC1(C=CNC(=O)N(C=CC=CCCC1C#N)CO)C,-4.26,augment
1935,C1SCCCC[C@H1]1NCCNCOC=C(C)CCC=O,0.0,augment
1936,CCCCNC(=O)NNC[NH1],-2.76,augment
1937,CCCC[NH1+1](C)C1[C@@H1]CCNN1C=O,-3.03,augment
1938,CCC1CC=CC=CN=CCC(CNC2=NC=C)C=C2N(C=O)C1C=C,-4.26,augment
1939,COC=CC=C(CC)CC=O,-3.25,augment
1940,CC(C)C(=C1C)CC=CC1C(CC2=CC=CC=C2)C=O,-3.98,augment
1941,CCNN(C)C=CCNC=CC=O,-2.82,augment
1942,C[C@H1]C[C@@H1][C@@H1](C(=O)N=CCC1F)C1OCC=PC,0.0,augment
1943,C=C(C)[C@H1](C=CCCCNC=CC1)CC=CC=C1OC(C)=CSC,-5.05,augment
1944,C[C@@H1](CC[C@@H1](C)C=CC=CC=CC=NN=CN)NNCCC=CC(C)NC=C,-3.61,augment
1945,CC=CC=CCNS(=O)C1=CC=C2NC2C=C1C=C,-4.66,augment
1946,CC=CC=CCC([NH1+1])COC(=O)CC(NCCCCNCC)C=CCC[C@H1](C)C,-0.86,augment
1947,C1C=C(CCC1(NCCCC=CC(CC=CC=C)C#CCC=C2C=N)C)OCC2=O,-5.05,augment
1948,CN(CC[C@H1]C=O)OC1CCCC1CC=CC=CC,-3.42,augment
1949,CC=NN,-2.31,augment
1950,CC=C(CSCNC)[C@@H1](O)NCCOC=NC=CC(C)=CC=O,-1.7,augment
1951,CC(C)(C[NH3+1])C=O,-2.36,augment
1952,N#CC=CCCNC(=O)COCN=[C@@H1]CCOC=C,-1.85,augment
1953,C1C[C@@H1]C(C=CCC(C)C=CC)C1CNC=CNSNC2CC=CN=N2,-4.3,augment
1954,O=C([C@@H1])SCC(CC1C=C1)NC=NC=CN=CCCC(=O)CCCF,-3.57,augment
1955,C1C(=N)C=CC=C2C3=C1NCCC[C@H1]CCCCC=C23,-5.19,augment
1956,C#CC=CC=CCCCS(F)NCCC[C@@H1]1[C@H1]CCCC(=C)C=CC2CC2C=C1,0.0,augment
1957,CN(CCNC1CN1)C(C)CC(C)C(=O)CC=O,-2.66,augment
1958,CCCCNC1C=C1CCNC(O)N(C)C=CC=C,-2.79,augment
1959,CNC=C(C[C@@H1]1CCC[C@@H1]1OC=CC=CN2C)C=CC2CCC,-4.05,augment
1960,C1=CCC(O2)C=C=C1C=CC=C3C(=O)CCCC2SS3=C=O,-4.87,augment
1961,CCCC=CC(C)C1NS1[C@H1]CCCC[C@H1](N)C=CC=CC,0.0,augment
1962,COC=CCCCCCCN(C=CC1)CC1N,-1.99,augment
1963,COC=CC=CC=CC#CS1([NH1+1])(C)NNCNNC(O)CC1CCCCCC,-2.76,augment
1964,CC1=C2CCC3=CC=C(Cl)CCC1CCCCC=C3C2,-5.01,augment
1965,CC=CNCNCCCC[C@@H1](CCN1[C@@H1]C)[C@@H1]C(C)CCCCC1CO,-2.47,augment
1966,COC1(C=NNC[C@@H1]1C=CC=C[NH1]C2)CC2=O,-3.77,augment
1967,C[C@H1]C[C@@H1]CNC=CC=CC(=C)SCC(C1)=C1CC(F)C,-3.39,augment
1968,COC=CC=CC(=O)CCC(=O)C1=CC=CC=C1CSN=O,-4.57,augment
1969,C12[C@@H1]CCCNN=CCNC=C1CCC(C=O)CC2=C,-4.53,augment
1970,CC[C@H1]C(N)NCC1[C@@H1](C)[NH2+1]N1CCCC=O,-1.8,augment
1971,CC=CC(C)C=NCCCC(=O)CCCC=C,-2.58,augment
1972,COC(C)CCN=NCN(C)C(O)[C@@H1]CCC=CC1=CC=CCO1,-2.97,augment
1973,CC(C)C#CNC[NH1]CCCC1=C(C)OC=CNC=N1,-2.53,augment
1974,CC([C@H1])(C=CC=CC=CC=CC1=CC1)C2C[C@@H1]CC[NH1+1]3CCCC=C32,-5.38,augment
1975,CC=CCC(C1=[C@@H1]C)CC1=CC=CO,-4.24,augment
1976,C=C1CC[C@](C(C)CCN2NOC)C12C,-4.16,augment
1977,CC=NC=C(S1CN2C=C21)CCCCC(C3)OC=C4C3C4(C)C#C,-3.95,augment
1978,C[C@H1]C[NH2+1]C[C@@H1](O)C[C@@H1](C)CC#CC=C=CC=CC1CC1F,-3.89,augment
1979,C[C@H1]CCCNCC(C1CNC=CN=C)=NN1C(O)C[C@@H1]2CO2,-2.36,augment
1980,CC=CC=CNN(CSCCNC1C=CSCC=CN=C1)CCC=O,-3.33,augment
1981,COC=CC=CC1(O)NCCC=C1NCCC(C=C)F,-3.0,augment
1982,C1C(=O)NC2=CC(S=3C(=O)[C@@H1]4C=3C)CCC=C2C1CC4,0.0,augment
1983,CC1N=C(N)C=C1C=C(O)C=O,-3.7,augment
1984,CCC=CC(C)=CCCC1=C(Cl)CC=C1C(=O)PCCCC=CC=C,-3.5,augment
1985,OC(NC=C=C)C=O,-2.74,augment
1986,C1C=CC=C=CC=C(C=O)N1,-3.95,augment
1987,CC(=O)NC=CNC=O,-3.62,augment
1988,C=CN=CCC1C=CC=C1CNNCCNCCCC([NH1]C2=CC)=CC=C2N=O,-2.43,augment
1989,CC(C)COC=O,-2.57,augment
1990,CC(O1)C=C=CC=C1CC=CC=C2C(C(=C)C=C2)CC3[C@@H1]C4CCC3C4,-5.82,augment
1991,CC(C)(C1[NH1+1]C2=O)C1(SCCCC(C)NC2)C3CC3,-4.43,augment
1992,CC(=O)CCCCCCS1CCNC2C1C3CN2C=CC=C3C,-3.27,augment
1993,O=C[NH1]C=C1C#C1,-3.05,augment
1994,CSC1=CNCNC=CC(C2=CC=CC=C12)F,-3.59,augment
1995,C[C@@H1]C[C@H1](CCC)C[C@H1]CCOC(=O)C=CCCCN[C@@H1](O)CC,-2.71,augment
1996,CCN(C[C@H1]CCCNC1CC)S(N)CCO[NH1]C(C)C=C1,-4.19,augment
1997,CNC(=O)[NH2+1]CC=O,-3.33,augment
1998,OC(CC=CC(O1)[C@@H1])CCOCC#S(SC=CC1=C2)C2,-4.54,augment
1999,O=CCOC=C/C(OC)=C/C(=C)C=CC=CCF,-2.99,augment
2000,CC(C)[C@@H1][C@@H1](C)[NH2+1]C=O,-3.46,augment
2001,CCC=C=NC1=C(CCC=C1C=O)OC,-3.54,augment
2002,CC1C[C@@H1]1CSCCCCC2(C)NCCCC2C=[C@H1]CCCSCCCCCC,-2.2,augment
2003,C[NH1+1](C)CCCC(CNCCC)CNNC(CCCC)C=C=CN,-0.99,augment
2004,C1=CCC2=NC=C1C=C2C=O,-3.85,augment
2005,COCCCC1C[NH1+1]1CCC[C@H1]([NH2+1]C)CCCC(C=CC=CC)C2CC2,0.0,augment
2006,CC(C)N=CCSCOC(=O)C=CC(=C)NNNNC1CCCC=N1,-2.22,augment
2007,CC=CC=CCF,-2.24,augment
2008,C1CC=C(N)OC2(SC)NC(=O)CCCCCCS1N=N[C@@H1]2C,-4.2,augment
2009,O=C(C)NC[NH1+1]CC[C@@H1]CCCCC(C)(CC=CF)NC,-1.67,augment
2010,CCN=CC=CCNNC(C)C(=O)CC(=O)N[NH1+1]N(C)CC1=CCCC(C)C1,-2.57,augment
2011,CC(C)[NH1+1]C(N)C(=O)NCNCC1[C@H1]CCC=C1NC=CC=CC=CCOC,-4.32,augment
2012,C1OC=CC=CCN1CC(=O)NSCF,-2.86,augment
2013,C1OC=CC#CN1C,-2.78,augment
2014,C=CC1=CC(=O)C=C1C[C@H1]NCCC(C)=CC(C)=CC#C,-3.4,augment
2015,C1N(C)CN1C=O,-2.82,augment
2016,C1C=CC=NC=CNC=C1OC,-3.81,augment
2017,CCC1C[C@@H1](C)OC[C@@H1](N)C(C)C(OC=CC)C2OC21C,-4.28,augment
2018,CCNC=CC(=O)NCCONCN=C=CC=CC=CCNC1[NH1]N=CN=C1C2C=C2,-3.33,augment
2019,CCC=C(CSCC(=O)C(C)CF)C(F)=C,-2.35,augment
2020,C[C@@H1](CCC1)CCCC=C1CC=CC=CCCCNF,0.0,augment
2021,CCCC=NC=C=C=COC(=O)CCNC=O,-3.46,augment
2022,CCC=NC=O,-2.72,augment
2023,COC=C1C=C2CS1=CC[C@@H1]2NC[C@@H1]C=O,-3.38,augment
2024,C=CCC(C(=O)NC=CC=CC=C(Cl)C=O)=NC=NN=CCC,-4.19,augment
